상품명,규격,단위수량,표준바코드,본사바코드,대표바코드,물류바코드,상품구분,제품설명
유한이지케어네일라카,4ml,1,8806421046519,,,,일반의약품,"바르는 손발톱 무좀치료제
자기전에 1번씩 사용"
와이드케어네일라카,4ml,1,8806980027516,,,,일반의약품,"손톱,발톱 무좀 치료제"
메딕스밴드,7cm*10cm*10매,1,8809010701127,,,,비의약품,-
피엠네일라카,4ml,1,8806476033410,,,,일반의약품,"하루 한 번,손발톱 무좀 치료제
손발을 씻고 건조시킨 후 사용"
제놀쿨카타플라스마,5매,1,8806436049819,88064360498191720,88064360498191721,,일반의약품,일체형이라 편리하고 시원한
모스제트(성인),2EA,1,8806035080916,,,,비의약품,-
씨콜드플러스노즈정,12T,1,8806416029312,,,,일반의약품,단종
가스파드썸머밴드(성인용),2EA,1,8809434840570,,,,비의약품,-
겨울왕국썸머키즈겔밴드,18매,1,8809434841294,,,,비의약품,-
젤콤정,2T,1,8806433025229,,,,일반의약품,효과빠른 통증 치료제
편감원액,75ml*10EA,1,18806581056615,,,,일반의약품,"감기 몸살 근육통에 마시는
전통한방약"
조아팝,10매,1,8806876001125,,,,일반의약품,관절염/근육통을 한방에
아이키커(포도맛),100ml,1,8809332390566,,,,비의약품,-
아이키커(사과맛),100ml,1,8809023001573,,,,비의약품,-
깨끗한나라네이처물티슈(리필),100매,1,8801260607990,,,,비의약품,-
미피밴드(디스밴드),16매,1,8809003722368,,,,비의약품,-
원포패스터,1KIT,1,8806250000317,8809435820038,,38809435820039,비의약품,-
건강테스트지,5매,1,8806653010739,,,,비의약품,-
솔가에스터씨비타민,50c,1,033984010383,,,,건강기능식품,"속쓰림 없는 비타민C
중성화된 비타민C,공복 복용 가능"
심진캡슐,10c,1,8806604010511,,,,일반의약품,"천연물 유래 신경안정제
신경안정,숙면,심장건강"
심진캡슐,60c*2EA,2,8806604010535,,,,일반의약품,"천연물 유래 신경안정제
신경안정,숙면,심장건강"
모스제트스프레이,50m,1,8809434840594,,,,비의약품,-
헬로카봇모기빵빵액,1EA,1,8809434840488,,,,비의약품,-
헬로카봇썸머키즈겔밴드,18매,1,8809434841317,,,,비의약품,-
카봇썸머밴드,1EA,1,8809434840495,,,,비의약품,-
알로에스킨미스트,150ml,1,8809206531538,,,,비의약품,-
올리브스킨미스트,150ml,1,8809206531514,,,,비의약품,-
효모디앤아연,60T,1,8806138304995,,,,건강기능식품,"아연 및 효모 공급으로 인한
면역력 증강"
웰빙잇몸마사지칫솔,1EA,1,8809311210427,,,,비의약품,-
내추럴케어액,80ml,1,8809261901437,,,,비의약품,-
닥터덴트치간칫솔SSSS,15p,1,8809167445004,,,,비의약품,-
블루콜엠연질캡슐,10c,1,8806616044313,,,,일반의약품,-
하루온팩아이워머(라벤더향),5매,1,8809078601773,,8809078608819,,비의약품,-
하루온팩아이워머(무향),5매,1,8809078601810,8809078602411,,,비의약품,-
포토덤키드선크림SPF50+,100ml,1,8809371190530,,3401353780743,,비의약품,-
리보목캔디(프로스티민티),12T,1,7640122990709,,7640122990709,,비의약품,-
리보목캔디(스위트망고),12T,1,7640122992307,,7640122992307,,비의약품,-
리보목캔디(핑크그레이프프룻),12T,1,7640122990594,,7640122990594,,비의약품,-
리보목캔디(패션프룻),12T,1,7640122991867,,7640122991867,,비의약품,-
리보목캔디(허니멜론),12T,1,7640122990563,,7640122990563,,비의약품,-
리보목캔디(버건디그레이프),12T,1,7640122990655,,,,비의약품,-
대웅목애쿨목캔디,12T,1,88090158920859,,,,비의약품,-
엑시피알기저귀연고세트,1SET,1,8809218319711,,,,비의약품,-
웰킵스황사마스크KF80(소형),1매,1,8809415361025,,,,비의약품,-
